CustomerID,PartyType,Name,DOB,Gender,KYCStatus,CustomerSegment,CreatedDate
CUST001,Individual,Customer 1,1980-01-01,Male,Verified,Corporate,2024-10-16
CUST002,Individual,Customer 2,1981-01-01,Female,Verified,Retail,2023-04-25
CUST003,Individual,Customer 3,1982-01-01,Male,Verified,Corporate,2023-01-26
CUST004,Individual,Customer 4,1983-01-01,Male,Verified,Corporate,2023-10-09
CUST005,Individual,Customer 5,1984-01-01,Male,Pending,Corporate,2023-09-08
CUST006,Individual,Customer 6,1985-01-01,Female,Verified,Corporate,2023-08-17
CUST007,Individual,Customer 7,1986-01-01,Male,Pending,Corporate,2023-05-23
CUST008,Individual,Customer 8,1987-01-01,Male,Pending,Corporate,2023-04-15
CUST009,Individual,Customer 9,1988-01-01,Male,Pending,Corporate,2024-11-23
CUST010,Individual,Customer 10,1989-01-01,Female,Verified,Corporate,2024-07-12
