SubscriberID,ContractID,MSISDN,SIMNumber,DeviceID,SubscriberType,Status,ActivatedDate
SUB001,CON001,6140000000,SIM0,DEV001,Secondary,Inactive,2023-06-09
SUB002,CON002,6140000001,SIM1,DEV002,Primary,Active,2023-08-09
SUB003,CON003,6140000002,SIM2,DEV003,Primary,Active,2023-12-11
SUB004,CON004,6140000003,SIM3,DEV004,Primary,Inactive,2023-04-15
SUB005,CON005,6140000004,SIM4,DEV005,Primary,Inactive,2023-04-05
SUB006,CON006,6140000005,SIM5,DEV006,Primary,Inactive,2024-01-25
SUB007,CON007,6140000006,SIM6,DEV007,Secondary,Active,2023-04-10
SUB008,CON008,6140000007,SIM7,DEV008,Primary,Inactive,2024-01-03
SUB009,CON009,6140000008,SIM8,DEV009,Secondary,Active,2023-12-19
SUB010,CON010,6140000009,SIM9,DEV010,Primary,Active,2024-09-10
